mesh_code,centroid_lat,centroid_lon,city_area_fraction,centroid_within_city,population,elderly_population,reported_elderly_population,elderly_ratio,HTKSYORI,HTKSAKI,GASSAN,disclosure_status,suppression_flag,aggregation_target_flag,aggregation_flag,primary_eligible_disclosure,nearest_station_name,nearest_station_distance_m,nearest_bus_stop_name,nearest_bus_stop_distance_m,nearest_public_transport_type,nearest_public_transport_name,nearest_public_transport_distance_m,nearest_medical_name,nearest_medical_distance_m,nearest_hospital_name,nearest_medical_access_class,nearest_hospital_distance_m,nearest_clinic_name,nearest_clinic_distance_m,elderly_population_percentile,elderly_ratio_percentile,transport_distance_percentile,medical_distance_percentile,exploratory_score_a,exploratory_score_b,exploratory_score_c,rank_a_unfiltered,rank_b_unfiltered,rank_c_unfiltered,pareto_frontier,eligibility_population_threshold,eligibility_elderly_threshold,primary_eligible,rank
533512882,35.48541666666668,135.359375,1.0,True,68,24.0,24.0,0.35294117647058826,0,,,unaffected,False,False,False,True,東舞鶴駅,3718.5219399783787,高倉神社前,316.63331866013084,bus_stop,高倉神社前,316.63331866013084,国土交通省共済組合海上保安学校診療所,688.0316184948528,国家公務員共済組合連合会 舞鶴共済病院,likely_public,3385.9935011880434,国土交通省共済組合海上保安学校診療所,688.0316184948528,0.46503496503496505,0.4230769230769231,0.34265734265734266,0.3076923076923077,0.15934764536163137,0.14308768154922002,0.04903004472665581,163,172,179,False,True,True,True,146
533512883,35.48958333333334,135.35312499999998,0.6435748015694523,True,418,0.0,0.0,0.0,0,,,unaffected,False,False,False,True,東舞鶴駅,4442.535925543796,海上保安学校前,287.1315001480539,bus_stop,海上保安学校前,287.1315001480539,国土交通省共済組合海上保安学校診療所,147.3946505034291,国家公務員共済組合連合会 舞鶴共済病院,likely_public,4111.762264873975,国土交通省共済組合海上保安学校診療所,147.3946505034291,0.013986013986013986,0.013986013986013986,0.3111888111888112,0.06293706293706294,0.004352291065577779,0.0008802386424764047,0.0002739204167146854,282,286,284,False,True,False,False,
533512891,35.48541666666668,135.36562500000002,0.9999999999999998,True,72,14.0,14.0,0.19444444444444445,0,,,unaffected,False,False,False,True,東舞鶴駅,3240.5429834356323,高倉神社前,288.8570444872327,bus_stop,高倉神社前,288.8570444872327,西村医院,853.0455944355106,国家公務員共済組合連合会 舞鶴共済病院,likely_public,2915.5876242576337,西村医院,853.0455944355106,0.30244755244755245,0.08041958041958042,0.3181818181818182,0.3986013986013986,0.09623331214240305,0.12055601740916426,0.03835873281200681,207,189,194,False,True,True,True,155
533512893,35.48958333333334,135.36562500000002,0.3957636003312356,True,170,0.0,0.0,0.0,0,,,unaffected,False,False,False,True,東舞鶴駅,3527.1121660202903,高倉神社前,446.3080467774811,bus_stop,高倉神社前,446.3080467774811,国土交通省共済組合海上保安学校診療所,1184.2082732617214,国家公務員共済組合連合会 舞鶴共済病院,likely_public,3214.7980580381254,国土交通省共済組合海上保安学校診療所,1184.2082732617214,0.013986013986013986,0.013986013986013986,0.45454545454545453,0.5209790209790209,0.006357279084551811,0.007286419873832461,0.003312009033560209,279,276,264,False,True,False,False,
533512894,35.48958333333334,135.371875,0.5915918461676086,True,10,0.0,0.0,0.0,0,,,unaffected,False,False,False,True,東舞鶴駅,3123.743670094406,飛行場前,153.31072728064603,bus_stop,飛行場前,153.31072728064603,ジャパンマリンユナイテッド（株） 舞鶴診療所,860.8030444143153,自衛隊舞鶴病院,likely_public,2769.9510022849695,ジャパンマリンユナイテッド（株） 舞鶴診療所,860.8030444143153,0.013986013986013986,0.013986013986013986,0.13636363636363635,0.4020979020979021,0.0019071837253655435,0.005623746882488141,0.0007668745748847464,285,280,277,False,False,False,False,
533512924,35.49791666666668,135.284375,0.2143699004641044,False,22,15.0,15.0,0.6818181818181818,0,,,unaffected,False,False,False,True,丹後神崎駅,1275.5383880482461,八田・由良川学園前,5359.651635190647,station,丹後神崎駅,1275.5383880482461,市立舞鶴市民病院加佐診療所,5309.490991077704,舞鶴赤十字病院,likely_public,7596.251930661348,市立舞鶴市民病院加佐診療所,5309.490991077704,0.3339160839160839,0.9370629370629371,0.7657342657342657,0.951048951048951,0.255690987334344,0.3175705413467651,0.24317464529699848,105,63,30,False,True,True,True,30
533512931,35.493750000000006,135.29062499999998,0.9999999999999999,True,50,26.0,26.0,0.52,0,,,unaffected,False,False,False,True,丹後神崎駅,1445.144076140371,二尾,4868.787552390223,station,丹後神崎駅,1445.144076140371,市立舞鶴市民病院加佐診療所,5131.283318861712,舞鶴赤十字病院,likely_public,6881.440932808576,市立舞鶴市民病院加佐診療所,5131.283318861712,0.5,0.756993006993007,0.7972027972027972,0.9440559440559441,0.3986013986013986,0.47202797202797203,0.376302019658663,42,16,9,True,True,True,True,9
533512933,35.49791666666668,135.29062499999998,0.9958122699961404,True,4,,,,2,533512934,,suppressed_source,True,False,False,False,丹後神崎駅,995.4356652572596,二尾,5193.83551480652,station,丹後神崎駅,995.4356652572596,市立舞鶴市民病院加佐診療所,5540.049180369674,舞鶴赤十字病院,likely_public,7251.877070252705,市立舞鶴市民病院加佐診療所,5540.049180369674,,,,,,,,,,,,False,False,False,
533512934,35.49791666666668,135.296875,1.0000000000000002,True,24,,16.0,,1,,533512933,aggregation_destination,False,True,True,False,丹後神崎駅,998.8989417390828,二尾,4821.282197542662,station,丹後神崎駅,998.8989417390828,国土交通省共済組合海上保安学校診療所,5173.178245794387,舞鶴赤十字病院,likely_public,6936.851431519142,国土交通省共済組合海上保安学校診療所,5173.178245794387,,,,,,,,,,,,True,False,False,
533512962,35.493750000000006,135.33437499999997,0.03810966533040617,False,6,,,,2,533512964,,suppressed_source,True,False,False,False,丹後神崎駅,3954.8273636202007,海上保安学校前,1979.415550341533,bus_stop,海上保安学校前,1979.415550341533,国土交通省共済組合海上保安学校診療所,1766.1225163759482,舞鶴赤十字病院,likely_public,5438.588507651522,国土交通省共済組合海上保安学校診療所,1766.1225163759482,,,,,,,,,,,,False,False,False,
533512963,35.49791666666668,135.328125,1.0000000000000002,True,5,,,,2,533512964,,suppressed_source,True,False,False,False,丹後神崎駅,3267.639539419931,海上保安学校前,2684.1480215950783,bus_stop,海上保安学校前,2684.1480215950783,国土交通省共済組合海上保安学校診療所,2468.7631424678816,舞鶴赤十字病院,likely_public,5951.757504544845,国土交通省共済組合海上保安学校診療所,2468.7631424678816,,,,,,,,,,,,False,False,False,
533512964,35.49791666666668,135.33437499999997,0.19747451930894713,False,78,,48.0,,1,,533512962;533512963,aggregation_destination,False,True,True,False,丹後神崎駅,3813.4521288639908,海上保安学校前,2187.949394668442,bus_stop,海上保安学校前,2187.949394668442,国土交通省共済組合海上保安学校診療所,1972.5267344692643,舞鶴赤十字病院,likely_public,5900.391736794101,国土交通省共済組合海上保安学校診療所,1972.5267344692643,,,,,,,,,,,,True,False,False,
533513003,35.42291666666668,135.378125,0.9999999999999998,True,23,14.0,14.0,0.6086956521739131,0,,,unaffected,False,False,False,True,西舞鶴駅,4797.957310100668,福来東,3721.848748044285,bus_stop,福来東,3721.848748044285,特別養護老人ﾎｰﾑｸﾞﾚｲｽｳﾞｨﾙまいづる診療所,3368.815500450091,市立舞鶴市民病院,likely_public,4299.179935920221,特別養護老人ﾎｰﾑｸﾞﾚｲｽｳﾞｨﾙまいづる診療所,3368.815500450091,0.30244755244755245,0.8776223776223776,0.9755244755244755,0.8776223776223776,0.2950449899750599,0.2654347400850897,0.25893808560748266,87,86,27,False,True,True,True,27
533513004,35.42291666666668,135.38437499999998,1.0,True,17,9.0,9.0,0.5294117647058824,0,,,unaffected,False,False,False,True,東舞鶴駅,5154.710810183437,常団地前,3520.1215637149626,bus_stop,常団地前,3520.1215637149626,特別養護老人ﾎｰﾑｸﾞﾚｲｽｳﾞｨﾙまいづる診療所,3904.221676767324,京都府立舞鶴こども療育センター,likely_public,4654.825618459619,特別養護老人ﾎｰﾑｸﾞﾚｲｽｳﾞｨﾙまいづる診療所,3904.221676767324,0.19230769230769232,0.7727272727272727,0.965034965034965,0.916083916083916,0.18558364712210867,0.17616998386229155,0.1700101942167569,142,138,63,False,False,False,False,
533513011,35.41875,135.390625,0.9999999999999998,True,22,,13.0,,1,,533513012,aggregation_destination,False,True,True,False,東舞鶴駅,5542.18755131558,常口,3746.6439526487384,bus_stop,常口,3746.6439526487384,特別養護老人ﾎｰﾑｸﾞﾚｲｽｳﾞｨﾙまいづる診療所,4345.471809831922,京都府立舞鶴こども療育センター,likely_public,4933.877381846547,特別養護老人ﾎｰﾑｸﾞﾚｲｽｳﾞｨﾙまいづる診療所,4345.471809831922,,,,,,,,,,,,True,False,False,
533513012,35.41875,135.39687499999997,1.0,True,3,,,,2,533513011,,suppressed_source,True,False,False,False,東舞鶴駅,5532.309602123843,常,3604.447130139197,bus_stop,常,3604.447130139197,鹿野医院,4641.727690828796,京都府立舞鶴こども療育センター,likely_public,4840.2223430884915,鹿野医院,4641.727690828796,,,,,,,,,,,,False,False,False,
533513102,35.42708333333334,135.38437499999998,0.9999999999999998,True,14,11.0,11.0,0.7857142857142857,0,,,unaffected,False,False,False,True,東舞鶴駅,4701.093485419572,常団地前,3110.8301576335675,bus_stop,常団地前,3110.8301576335675,特別養護老人ホーム真愛の家寿荘医務室,3718.574904492273,京都府立舞鶴こども療育センター,uncertain_access,4226.0667729720835,特別養護老人ホーム真愛の家寿荘医務室,3718.574904492273,0.25874125874125875,0.9755244755244755,0.951048951048951,0.9020979020979021,0.24607560271895937,0.23340994669666,0.22198428497025005,109,107,42,False,False,True,False,
