citywide_screening_rank,mesh_code,label,residential_buildings,estimated_elderly,centroid_transport,weighted_transport_mean,weighted_transport_p90,centroid_medical,weighted_medical_mean,weighted_medical_p90
16,533903373,マーケット前周辺,719,1149.0,284.47342696597457,183.16001825495007,270.9187271582363,301.25691518138433,240.02220214009398,417.02816828430844
160,533903094,弥勒寺周辺,707,662.0,152.81026602956462,126.90570810402124,199.88066732313806,123.23653231038966,155.07743713263443,255.67813166221794
161,533903591,西俣野周辺,137,50.0,185.32794783464018,179.0845021323306,286.230480190008,638.1004383591296,582.5015776691127,711.3126205105267
162,523973793,目白山下周辺,341,337.0,99.375351244285,181.61756547057627,271.3659507497155,363.622548510863,266.8663513878241,387.40148121222876
163,533903753,仲之桜周辺,270,292.0,115.63273843405379,130.83577641992687,244.62848888254868,302.40322450722124,346.4570681126236,507.35400818707825
164,533903664,桐ヶ谷周辺,375,581.0,100.01991776712039,156.0603712710434,231.25613841752923,238.0537781043877,239.32046431631227,362.6958722116275
165,533903931,用田神社入口周辺,213,187.0,187.96591095131546,193.69384437784925,314.1067938748103,187.41148527122422,294.41433360227694,434.0054593059055
166,533904201,慈眼寺周辺,519,632.0,120.13168206387378,124.42448404676455,186.96298121633396,172.85160645943526,187.7052209256331,282.7884994971536
167,533903861,下土棚周辺,58,40.00000000000001,600.2269217485841,506.2482017668193,552.7200306402509,365.2824514482825,619.7376141221105,688.3058283865964
168,533903261,大六天周辺,87,41.0,203.0404327368222,213.96676580748246,361.9598547660365,733.0205569784363,615.4294089418709,795.9614599172127
169,533903263,舟地蔵周辺,100,81.0,169.38844891450026,241.46787403866645,324.63246951819247,354.33870905646114,287.71376725672076,448.7913973229215
170,523973982,柳小路周辺,939,748.0,81.43343052201563,169.43008928907318,309.28747999384177,278.33162190952106,201.71571489499703,349.8620506698899
171,533903471,2街区グラウンド前周辺,292,1269.0,93.86862568466634,111.55841609765821,186.61196463296216,176.82239024638238,214.47656570731954,347.9878193922229
172,533903093,日ノ出町周辺,178,490.00000000000006,219.94102879137293,146.4854144118075,210.48348051683357,99.76080665171646,81.52380408734125,126.82931396514164
173,533903631,根下周辺,97,35.0,230.76062619283354,131.30765155412573,235.93917261310634,733.613882862391,649.4984942309943,821.1854100695333
174,523973874,熊倉通り周辺,919,704.0,176.84705216206916,150.63154968897896,243.00445862908842,92.72403315760269,144.41401022247584,256.25787134364094
175,533903454,駒寄住宅北周辺,712,1114.0000000000002,60.185737786817064,148.9780794102343,217.921795642353,358.8123175104917,247.8845982250995,346.3102166116437
176,533903714,宮原中央周辺,39,25.000000000000004,957.1989561816131,957.8306227175286,1023.2867602078635,1153.4304810311307,1153.1532193651758,1212.9234291058426
177,533903091,奥田周辺,214,1110.0,152.2935910439686,165.51271582549512,220.26932818313517,95.51133877974169,147.28556768312092,227.39205621243406
178,523973974,原周辺,896,671.0,127.1449244967822,160.40301452327571,231.28323051285972,128.88005656469792,120.82870426602243,184.05681725546364
179,523973863,辻堂東海岸周辺,517,763.0000000000001,150.83579887084977,141.23680592334335,278.8617752888865,100.41403635353143,167.40715386355197,298.64814658376105
18,533903254,西高校前周辺,844,896.0,382.5667989701853,273.98101854806185,404.4276543201549,259.65776999257866,236.796291119199,397.5047995429018
180,533903773,湘南台周辺,308,1103.0000000000002,170.4615719471916,162.00995054501956,289.11627732492695,78.03404269608686,99.88665406537262,159.0921191019055
181,523973861,辻堂海浜公園前周辺,88,84.0,137.84231735052128,156.87672997250326,220.26590930278527,392.1734539259955,218.90443025887458,301.818318434081
182,533903633,荒井周辺,171,63.00000000000001,128.81164719506344,164.44363962705467,320.1819711942361,807.7071201676466,717.5709992957278,865.0829259260549
183,533903562,4号西周辺,463,275.0,70.09923714217105,84.901294562531,138.84032394536104,619.7379849778629,523.2929022836956,644.3355026048197
184,533903184,藤沢公民館前周辺,719,619.0,111.90687645605529,138.31191287154286,261.47388943829054,152.35911455249447,187.55846562496183,318.27810341669914
185,533903934,松葉周辺,84,26.0,383.54074588608864,280.6147794466482,362.18054654339045,618.4337389866574,523.8956775535033,603.4094075515723
186,533903941,上宮下周辺,143,88.0,124.98259443241147,188.60474319605927,379.1560908764514,399.0254451962042,442.40225102518804,613.5201672426928
187,533903071,藤沢SST前周辺,613,440.00000000000006,135.34101046784235,156.14676519123105,230.12376087922146,136.04572569142306,151.85767902591087,232.09981748230913
188,523973684,江ノ島海岸周辺,9,85.0,131.60911246751334,109.01964674212483,122.52243112070674,368.95138276980515,144.20834964765763,158.75446018918996
189,533903473,天神町7号周辺,104,174.0,232.28115691512542,164.42178131792954,281.0424125518509,114.64654522150012,289.6296420179424,406.2857477678195
19,533903673,湘南台住宅前周辺,759,690.0,363.83441598569107,379.0813770075858,548.6217133231648,279.48223921322096,261.7887338070529,397.1628154662001
190,533903741,遠藤西の谷周辺,58,30.0,314.2552460984658,159.16952900659362,295.4981404835432,419.28074298075546,560.1987897869178,686.4240441311167
191,533903363,弁天前周辺,392,287.0,70.92061898589151,199.91637318809336,286.4709279314194,410.9992501925264,306.2700157164054,430.51415577641455
192,533903734,西菖蒲沢周辺,36,23.0,481.10921982459513,275.4720874934736,360.46457379789524,639.5621432928705,535.1296586508848,785.6098735902004
193,533903552,田方周辺,447,302.99999999999994,362.08806425455174,252.81925973050636,341.26276397393457,77.25549158668157,194.31836542497186,293.6577578967003
194,533903854,大持周辺,67,74.0,101.31907896928792,76.47040145266821,103.97030274150102,707.8664844457517,764.6860629547273,849.1522090261969
195,533903052,辻堂駅周辺,563,622.0,141.5113771770096,192.82784052346636,320.68583228872734,97.20671166531828,104.29489995360542,145.75299739779513
196,533903973,長後周辺,739,787.0,259.85753709307676,288.73103481273154,451.63240345726354,54.28939581196047,148.5980142156164,261.9881753709906
197,533903652,東京ラヂエーター前周辺,173,131.0,119.74307915249754,109.8976011021895,161.43003401354287,263.31578941614265,169.8678754580082,347.32622473824387
198,533903372,善行市民センター周辺,686,597.0000000000001,73.77428303142511,120.97818874028171,189.81427602033762,237.94278925630758,174.0331882570613,288.0973979953251
199,533903971,長後駅周辺,804,656.0,198.69325231910602,259.350373567712,394.46861543737265,67.45724473725299,133.3386282881872,235.682549071098
2,533903351,南センター前周辺,305,1026.0,347.69019036632005,233.82990198120527,362.4538685826744,430.656584165204,321.1027799417004,453.37734332860987
20,523973871,鵠沼プールガーデン周辺,616,601.0,196.63830651640438,201.50178962415814,283.9094806339117,464.28876167000897,411.4156130415213,575.9923071854589
200,533903842,宮の腰周辺,156,100.99999999999997,264.9854144008956,212.75514142961842,358.96882210057447,126.68967774098859,195.63979486112174,308.5468640610482
201,533903291,遊行寺坂上周辺,828,616.0,46.99422463745403,194.13547557469138,276.4071187722253,675.9008727601569,588.5554637709907,706.1268012967579
202,533903384,亀井野団地入口周辺,80,42.0,259.4496093968777,249.40019868105634,420.5056696746008,260.5264607020012,278.55843042773193,428.9445127221773
203,533903844,出荷場前周辺,266,123.0,90.45892451186921,115.93696318928393,196.96482329766923,377.93328382533855,439.0926424474593,619.9955286699212
204,533904003,小塚周辺,511,396.0,90.13531435428351,142.53428633199474,261.96008376462237,200.62786565569732,251.68869113075672,385.7323432916583
205,533903493,西俣野周辺,4,14.999999999999998,612.2140900347345,394.69065820886186,411.39174704743607,641.8735608694587,363.5644456803338,413.84525243780223
206,533903661,丸石周辺,315,257.0,132.18370396824625,159.4544759038005,232.34164194189606,137.5726524665109,253.5514424741829,350.9292062314899
207,533903484,俣野原周辺,102,35.0,376.5448622350183,306.0840375708379,426.14163365890533,238.08404837360519,307.12205334967274,439.5969360756261
208,533903581,下屋敷周辺,48,34.0,487.563041817287,538.4280449198251,741.1361038328017,240.08884316826428,178.9077110937725,489.04420952017637
209,533903054,神台公園前周辺,70,565.0000000000001,102.55333807342062,220.00023314175718,304.7114560615887,116.3898706075082,152.8052111683954,236.61719094730125
21,533903874,下高倉周辺,321,206.0,846.0240198503583,694.7703507569165,773.6583574234891,502.2390173025117,400.28888871152543,581.4980516387434
210,533903361,天神社前周辺,118,116.0,229.48132307659586,153.5294307613909,240.4391179037722,107.9107927209545,172.78290416572668,303.4812211444399
211,533903082,橘通り周辺,716,915.0,97.67281194677456,164.1356406101667,242.88181739962548,106.69084037452099,145.3817389833115,295.22903250986195
212,533903731,打戻大仲周辺,182,99.0,83.6505459850593,120.11232514285372,186.77468701615882,608.0026941082597,676.2930538732255,830.6589300190482
213,533903943,天沼周辺,127,43.00000000000001,120.62519282101407,121.35920641890662,212.6917780324332,708.5753495889876,674.9721321219655,896.5525414794862
214,533903644,諸之木周辺,109,71.00000000000001,250.60860860954,132.09926102632525,207.14436058039837,160.79531674890572,177.2751021449461,332.68565258642434
215,533903191,藤が岡2号周辺,587,1053.0,56.45016904542898,94.54292764676347,172.98349462257426,222.4652900202257,220.35892051130847,337.7616902993453
216,533903622,光友会入口周辺,155,93.0,165.42176073706023,172.86491180014224,304.2582203754066,168.72819985389637,321.37740373685847,421.7654976106604
217,533903663,団地中央周辺,104,215.0,128.47409398087296,115.8605676152553,151.05078803111198,114.10761581790793,265.8281723747354,341.9797101488134
218,533903544,宝泉寺周辺,218,169.0,231.67530808687513,139.01144614060996,197.089792764177,77.44209550259906,256.7985303150491,354.85218169914486
219,533903772,今田周辺,549,524.0,65.21511043543981,182.5598643821076,302.0585862273629,189.20516612777905,163.25423316167107,293.3781582381816
22,523973864,鵠沼車庫前周辺,1032,683.0000000000001,508.9657461388165,377.45062100132026,488.5885266893362,233.6086700940001,212.89987877016443,374.67795015921354
220,533903092,川名周辺,425,391.99999999999994,65.12355023037857,109.46871663902941,174.61370044591823,206.1372246805795,283.17505866623173,370.8218138940569
221,533903722,宮原中央周辺,103,124.0,272.03150775902907,201.5670338649098,318.9361741300518,75.57758361427416,156.28699000289424,242.0406552353313
222,533903272,修道院下周辺,643,715.0000000000001,52.941695252419784,174.43859917864913,285.99382290293494,193.60404842006912,256.6285127436855,385.449707265943
223,533903292,柄沢神社入口周辺,693,435.0,61.20145966122318,140.0846721410614,228.05021431689528,199.60124125256982,246.5114845591989,398.7278791671094
224,533903744,笹久保周辺,106,52.99999999999999,84.8186040442719,166.901705493355,301.7194283158433,562.6781148362896,550.0818189065066,675.5870045054629
225,533903182,藤沢小学校前周辺,704,935.0,54.485940654953325,157.31289983757642,243.4801093975156,149.68062804715333,102.52648740701846,190.24840288731767
226,533903582,俣野原周辺,147,103.0,89.35909187455128,129.40962115704792,199.8524352317358,227.75596054588527,276.11917597630446,460.28901510547706
227,533903181,日本精工北門周辺,696,720.0,174.48218631296388,118.72645758729115,203.60889516474413,42.339682209244316,138.2246693169481,254.3973842036773
228,533904004,湘南アイパーク周辺,200,69.0,108.52376180125158,166.94934548198412,259.62567562309755,227.22668100200227,379.7875725181192,462.27667985442963
