mesh_code,transport_terrain_elderly_weight_coverage,transport_weighted_mean_ascent_m,transport_weighted_median_ascent_m,transport_weighted_p90_ascent_m,transport_weighted_mean_descent_m,transport_weighted_mean_maximum_grade_percent,medical_terrain_elderly_weight_coverage,medical_weighted_mean_ascent_m,medical_weighted_median_ascent_m,medical_weighted_p90_ascent_m,medical_weighted_mean_descent_m,medical_weighted_mean_maximum_grade_percent,terrain_metric_status
533903183,0.9884196605149718,1.975420595138825,1.2998331800539855,4.100229530445711,2.2050876979535086,9.195843917676974,0.9884196605149718,1.4917167138639589,0.9956540296738368,3.304341870500684,2.305423043774924,5.453225957345863,partial
533903184,0.7684651313526663,1.2968309948803454,1.13626062257487,2.7145984273705874,1.3784806927714925,3.771488759549137,0.6656660313109227,1.4222507811840257,0.5273073170196358,2.680739715162469,1.336075189066357,3.9262553913658107,partial
533903191,0.9310231414813652,2.9406512317128954,1.0474328342916603,7.549861216342389,3.716386811721563,7.513379148948502,0.3375394135613418,2.6819840079200743,1.5777340720545148,7.4436343242911,5.960651027032222,8.48138347403226,partial
533903192,1.0,4.6813263485546575,0.8861327327762609,19.622797314895895,3.5497943704682666,9.253997091629738,0.9877491172099037,1.53584615176411,0.5164434468061856,5.347293741208162,8.476995280190255,9.573209860974538,partial
533903193,0.9466952668052775,1.2956600012022572,0.8593415669817297,3.503081707996188,13.17380333342812,18.18713172953919,0.6673745439458264,13.225449494499005,13.081944455439114,15.611235459482085,19.221579630535572,23.29650103983467,partial
533903194,1.0,4.092481857622551,1.636590676025513,17.96328488656448,2.199628321269189,9.220935945817237,1.0,7.553056900625525,6.4390800539098265,13.382024737490156,4.686016150779504,12.402865991405445,available
533903251,1.0,5.991939974479881,6.39367903206589,6.39367903206589,9.319521853004803,9.996752695915621,1.0,13.7365850956945,15.287756001934959,15.287756001934959,23.961459785551394,28.262454052331577,available
533903252,1.0,16.207731774529247,15.521145218316668,24.59406356498849,2.0573876538517037,10.688087613368385,1.0,18.14288805008439,20.90439629892978,24.081926567922476,10.729938758495264,18.219282582943908,available
533903253,1.0,1.9281147534380416,0.8536954019382179,6.729348357722543,7.185482158436502,5.608989476767535,1.0,0.9066748426755205,0.39170291971942817,3.309787355669954,7.82803486105226,6.794182057955694,available
533903254,1.0,7.035160546528154,5.644891929045878,15.294406184733518,8.712765105356159,15.989183888597413,1.0,5.422306742750913,4.615658788037116,12.152278855942164,7.506713690933327,15.560452425462065,available
533903261,1.0,1.5733773608914956,1.1152701859894165,2.609969915756734,12.052634697343542,10.043050205150669,0.6218059770879746,5.824453019733798,3.445293722525049,11.028938654223866,24.007123623041984,16.818109538080993,partial
