mesh_code,centroid_lat,centroid_lon,city_area_fraction,centroid_within_city,population,elderly_population,reported_elderly_population,elderly_ratio,HTKSYORI,HTKSAKI,GASSAN,disclosure_status,suppression_flag,aggregation_target_flag,aggregation_flag,primary_eligible_disclosure,nearest_station_name,nearest_station_distance_m,nearest_bus_stop_name,nearest_bus_stop_distance_m,nearest_public_transport_type,nearest_public_transport_name,nearest_public_transport_distance_m,nearest_medical_name,nearest_medical_distance_m,nearest_hospital_name,nearest_hospital_distance_m,nearest_clinic_name,nearest_clinic_distance_m,elderly_population_percentile,elderly_ratio_percentile,transport_distance_percentile,medical_distance_percentile,exploratory_score_a,exploratory_score_b,exploratory_score_c,rank_a_unfiltered,rank_b_unfiltered,rank_c_unfiltered,pareto_frontier,eligibility_population_threshold,eligibility_elderly_threshold,primary_eligible,rank
533903284,35.35625,139.484375,1.0000000000000002,True,439,104.0,104.0,0.23690205011389523,0,,,unaffected,False,False,False,True,藤沢本町,1181.3106014357388,水道みち下,344.27864517756694,bus_stop,水道みち下,344.27864517756694,湘南長寿園病院,552.1589312794466,湘南長寿園病院,552.1589312794466,藤川眼科,715.8812195486671,0.21673003802281368,0.3916349809885932,0.8250950570342205,0.8098859315589354,0.17882288308346223,0.17552660874090995,0.1448261372501044,131,130,75,False,True,True,True,75
533903291,35.35208333333334,139.49062500000002,1.0000000000000002,True,2351,616.0,616.0,0.2620161633347512,0,,,unaffected,False,False,False,True,藤沢本町,1410.0033752796012,遊行寺坂上,46.99422463745403,bus_stop,遊行寺坂上,46.99422463745403,からさわ耳鼻咽喉科,675.9008727601569,藤沢市民病院,798.7636172272292,からさわ耳鼻咽喉科,675.9008727601569,0.7300380228136882,0.5551330798479087,0.034220532319391636,0.9049429657794676,0.024982289754080587,0.6606427734967977,0.022607547382019696,240,4,201,False,True,True,True,201
533903292,35.35208333333334,139.496875,1.0,True,2505,435.0,435.0,0.17365269461077845,0,,,unaffected,False,False,False,True,藤沢,1738.6461607945475,柄沢神社入口,61.20145966122318,bus_stop,柄沢神社入口,61.20145966122318,三宅クリニック,199.60124125256982,藤沢市民病院,1360.3508833967378,三宅クリニック,199.60124125256982,0.5513307984790875,0.09125475285171103,0.06463878326996197,0.28517110266159695,0.03563735199294482,0.15722361173358007,0.010162742963767535,229,143,223,False,True,True,True,223
533903293,35.35625,139.49062500000002,0.9998946489519215,True,1648,425.0,425.0,0.25788834951456313,0,,,unaffected,False,False,False,True,藤沢本町,1612.0179317443924,緑ヶ丘,174.4330815826593,bus_stop,緑ヶ丘,174.4330815826593,からさわ耳鼻咽喉科,658.38129039702,藤沢市民病院,998.2479783309349,からさわ耳鼻咽喉科,658.38129039702,0.532319391634981,0.532319391634981,0.42585551330798477,0.8973384030418251,0.226691147768509,0.4776706327979297,0.20341867252231224,106,18,42,False,True,True,True,42
533903294,35.35625,139.496875,0.7705706657830956,True,2194,499.0,499.0,0.22743846855059252,0,,,unaffected,False,False,False,True,藤沢本町,2108.80515474177,柄沢大上,211.7145674022075,bus_stop,柄沢大上,211.7145674022075,角谷整形外科,192.61887839641878,藤沢市民病院,1486.259668399656,角谷整形外科,192.61887839641878,0.6007604562737643,0.3193916349809886,0.55893536121673,0.26996197718631176,0.335786262632104,0.1621824805910162,0.09064952337216495,68,141,114,False,True,True,True,114
533903342,35.360416666666666,139.434375,0.22136644345417464,False,254,41.0,41.0,0.16141732283464566,0,,,unaffected,False,False,False,True,辻堂,2816.777857737669,羽根沢,696.1319853936669,bus_stop,羽根沢,696.1319853936669,湘南あおぞらクリニック,792.8146662975802,村田会湘南大庭病院,1574.065704821909,湘南あおぞらクリニック,792.8146662975802,,,,,,,,,,,,True,True,False,
533903344,35.36458333333334,139.434375,0.046487457202129226,False,623,162.0,162.0,0.26003210272873195,0,,,unaffected,False,False,False,True,辻堂,3250.3888807491594,南大平,459.13944999874946,bus_stop,南大平,459.13944999874946,武内整形外科医院,532.5627764000627,村田会湘南大庭病院,1419.4122633172706,武内整形外科医院,532.5627764000627,,,,,,,,,,,,True,True,False,
533903351,35.360416666666666,139.440625,1.0,True,2639,1026.0,1026.0,0.3887836301629405,0,,,unaffected,False,False,False,True,辻堂,2658.280572139063,南センター前,347.69019036632005,bus_stop,南センター前,347.69019036632005,産婦人科吉田クリニック,430.656584165204,村田会湘南大庭病院,1103.271276427868,産婦人科吉田クリニック,430.656584165204,0.973384030418251,0.9049429657794676,0.8326996197718631,0.688212927756654,0.8105365120212812,0.6698954734057164,0.5578217059918323,4,3,2,True,True,True,True,2
533903352,35.360416666666666,139.44687499999998,1.0,True,2098,690.0,690.0,0.328884652049571,0,,,unaffected,False,False,False,True,善行,2411.123507071743,小糸,176.0688782609951,bus_stop,小糸,176.0688782609951,野中脳神経外科クリニック,230.55342626517418,村田会湘南大庭病院,775.8258332554784,野中脳神経外科クリニック,230.55342626517418,0.8422053231939164,0.8136882129277566,0.44106463878326996,0.33460076045627374,0.37146698665587186,0.2818025416010062,0.12429313621945522,57,79,89,False,True,True,True,89
533903353,35.36458333333334,139.440625,0.7660989327416242,True,2096,536.0,536.0,0.25572519083969464,0,,,unaffected,False,False,False,True,善行,2975.1125982357776,羽根沢,37.278552862862036,bus_stop,羽根沢,37.278552862862036,湘南あおぞらクリニック,65.81125716911792,村田会湘南大庭病院,868.5164563542799,湘南あおぞらクリニック,65.81125716911792,0.6425855513307985,0.5209125475285171,0.026615969581749048,0.049429657794676805,0.017103037487891975,0.0317627839060851,0.0008453972902760291,248,232,258,False,True,True,True,256
