mesh_code,network_transport_weighted_mean_distance_m,network_transport_weighted_median_distance_m,network_transport_weighted_p90_distance_m,network_medical_weighted_mean_distance_m,network_medical_weighted_median_distance_m,network_medical_weighted_p90_distance_m,transport_elderly_weight_coverage,medical_elderly_weight_coverage,network_reachable_buildings_transport,network_reachable_buildings_medical,centroid_transport_distance,weighted_mean_transport_distance,weighted_median_transport_distance,weighted_p90_transport_distance,transport_difference,centroid_medical_distance,weighted_mean_medical_distance,weighted_median_medical_distance,weighted_p90_medical_distance,medical_difference,population_weighted_mean_transport_distance,population_weighted_median_transport_distance,population_weighted_p90_transport_distance,population_weighted_mean_medical_distance,population_weighted_median_medical_distance,population_weighted_p90_medical_distance,residential_building_count,estimated_population_allocated,estimated_elderly_allocated,citywide_screening_rank,label,network_minus_building_euclidean_transport_m,network_minus_building_euclidean_medical_m,network_transport_detour_ratio,network_medical_detour_ratio,network_metric_status
533512331,312.9804266106889,340.3407286834711,356.89274905591697,2566.3415559903146,2593.701858063097,2610.253878435543,1.0,1.0,6,6,262.84504692420705,211.4835327823966,208.3026756556774,225.1489944764432,-51.36151414181046,2556.3479828136865,2255.672082538995,2249.2560629901554,2266.650434296403,-300.6759002746917,211.48353278239665,208.3026756556774,225.1489944764432,2255.6720825389957,2249.2560629901554,2266.650434296403,6,48.0,15.0,148,四所駅周辺,101.49689382829229,310.66947345131985,1.4799281177732466,1.1377281191961328,available
533512332,273.53899989814,314.94550169480857,388.9906352579021,2501.6196664012296,2557.684912219517,2642.3517646375285,1.0,1.0,109,109,204.99631716078488,145.86436618543976,156.74794758838664,194.31698477558044,-59.13195097534509,2022.001519065976,2103.811480596682,2083.0205149854883,2214.1854525646286,81.80996153070646,145.86436618543976,156.74794758838664,194.31698477558044,2103.8114805966816,2083.0205149854883,2214.1854525646286,109,258.0,88.99999999999999,116,上福井周辺,127.67463371270023,397.8081858045475,1.8752969423003927,1.1890892741452868,available
533512333,256.2045002167418,263.02233279796906,380.17239163530576,2652.8386296094063,2654.7377538979804,2717.6212913064296,1.0,1.0,51,51,38.756812919052834,186.3444617174219,207.6222098820396,249.18641888311168,147.58764879836906,2458.040916647848,2304.59515027707,2273.590565994909,2465.316911446856,-153.44576637077762,186.34446171742184,207.6222098820396,249.18641888311168,2304.5951502770704,2273.590565994909,2465.316911446856,51,25.0,15.0,261,四所周辺,69.8600384993199,348.2434793323364,1.3748973157316458,1.151108310407782,available
533512334,268.54909925996003,296.3023048904902,436.80889202330195,2132.1726020876445,2049.5614425424665,2430.788663678877,1.0,1.0,74,74,293.6439376364264,215.69517754393453,196.8505476541292,382.8889533402881,-77.94876009249188,1896.2243582860187,1882.784633224708,1851.8300612523967,2114.527721626493,-13.439725061311036,215.69517754393456,196.8505476541292,382.8889533402881,1882.784633224708,1851.8300612523967,2114.527721626493,74,92.0,30.0,101,上福井周辺,52.853921716025496,249.38796886293653,1.2450398859995828,1.1324569812511172,available
533512343,381.43372914498667,372.0957740347165,517.1844742194211,1550.6099710950114,1533.0003911101155,1740.5383457689977,1.0,1.0,121,121,288.79290171976805,245.60163242417656,219.89106059007892,373.5670029706265,-43.191269295591496,1339.1137757869292,1221.6335113269113,1186.3430701710863,1413.914141794374,-117.4802644600179,245.6016324241765,219.89106059007892,373.5670029706265,1221.6335113269108,1186.3430701710863,1413.914141794374,121,233.0,84.99999999999999,91,福井小学校口周辺,135.8320967208101,328.9764597681001,1.553058607062577,1.2692922686860262,available
533512344,261.9248936145443,261.57710529397684,351.9563688016609,1015.6190668720999,989.3358518997236,1304.1870299945178,1.0,1.0,188,188,278.6765336226648,188.59670569058216,191.8143585305859,282.64852244706327,-90.07982793208262,796.6430113411278,760.1960505388181,760.3150844588117,1007.2411502797396,-36.44696080230972,188.59670569058213,191.8143585305859,282.64852244706327,760.1960505388181,760.3150844588117,1007.2411502797396,188,421.0,131.0,137,福井小学校口周辺,73.32818792396216,255.4230163332818,1.38880948453186,1.3359962422223068,available
533512352,509.293912554925,491.1710183080262,638.0078928165141,401.5775885028801,375.5846308902805,527.5493374281087,0.9878891850593805,0.9878891850593805,153,153,624.0944360921821,399.5146398955407,393.5685634701745,464.1054473562008,-224.5797961966415,497.137808133289,282.30579783156423,259.6134052263898,371.26968509120746,-214.8320103017248,399.5146398955407,393.5685634701745,464.1054473562008,282.3057978315643,259.6134052263898,371.26968509120746,155,259.0,77.0,135,千日前周辺,109.77927265938428,119.27179067131584,1.2747816017157414,1.4224914670101054,partial
533512353,166.07890524110687,159.0679989976219,243.96135245269153,547.2800009879294,556.2146786847588,644.8236509494938,1.0,1.0,100,100,215.25422245420427,96.67261877286124,99.5616768108273,153.10826656794958,-118.58160368134304,346.27772205016925,316.69106147787767,334.3509889199077,435.4530519884554,-29.586660572291574,96.6726187728612,99.5616768108273,153.10826656794958,316.6910614778776,334.3509889199077,435.4530519884554,100,193.0,80.99999999999997,227,舞鶴港とれとれセンター前周辺,69.40628646824563,230.58893951005172,1.717951860095156,1.7281195068593984,available
533512354,365.09299801513345,362.5828435112248,528.0634733468094,232.86999759877807,241.4594598191621,346.2208326525691,1.0,1.0,286,286,341.6357825948548,299.4627619458225,309.46365190546214,419.2932581312688,-42.17302064903225,221.69863616936811,151.67748101435984,145.81298754833637,262.4655677134775,-70.0211551550083,299.4627619458225,309.46365190546214,419.2932581312688,151.67748101435987,145.81298754833637,262.4655677134775,286,474.0,180.0,207,西町周辺,65.63023606931097,81.19251658441823,1.2191599237343056,1.5352971056839442,available
533512361,291.97610387478966,289.03775048219336,446.2804769518096,232.50896715177686,230.9305656192749,349.43564635934223,1.0,1.0,479,479,163.80467894627742,226.55654086911235,221.569524045567,353.7920223720484,62.751861922834905,20.09678804020568,152.58591711316376,144.13439290247408,258.7945602943707,132.48912907295806,226.55654086911235,221.569524045567,353.7920223720484,152.58591711316376,144.13439290247408,258.7945602943707,479,1223.0,429.0,282,千日前周辺,65.4195630056773,79.9230500386131,1.2887560109927345,1.523790475233301,available
