mesh_code,centroid_transport_distance,weighted_mean_transport_distance,weighted_median_transport_distance,weighted_p90_transport_distance,transport_difference,centroid_medical_distance,weighted_mean_medical_distance,weighted_median_medical_distance,weighted_p90_medical_distance,medical_difference,population_weighted_mean_transport_distance,population_weighted_median_transport_distance,population_weighted_p90_transport_distance,population_weighted_mean_medical_distance,population_weighted_median_medical_distance,population_weighted_p90_medical_distance,residential_building_count,estimated_population_allocated,estimated_elderly_allocated,citywide_screening_rank,label
533512263,110.53543204709044,218.3730381519904,217.9730364391076,317.03039549849615,107.83760610489995,60.2365368364778,167.4764742762111,151.91897543302306,313.0305091381275,107.2399374397333,218.37303815199036,217.9730364391076,317.03039549849615,167.47647427621106,151.91897543302306,313.0305091381275,452,1100.0000000000002,335.0,283,西高前周辺
533512264,421.29234001675223,385.5821868249768,409.66176523914424,544.5344926959871,-35.71015319177542,140.69695611481558,161.211193817102,149.38232882720268,276.4514011174705,20.514237702286408,385.5821868249768,409.66176523914424,544.5344926959871,161.211193817102,149.38232882720268,276.4514011174705,360,631.0,170.0,233,西舞鶴駅周辺
533512331,262.84504692420705,211.4835327823966,208.3026756556774,225.14899447644322,-51.36151414181046,2556.3479828136865,2255.672082538995,2249.2560629901554,2266.650434296403,-300.6759002746917,211.48353278239662,208.3026756556774,225.14899447644322,2255.6720825389953,2249.2560629901554,2266.650434296403,6,48.0,15.0,148,四所駅周辺
533512332,204.99631716078486,145.86436618543976,156.74794758838664,194.31698477558044,-59.13195097534509,2022.0015190659756,2103.811480596682,2083.0205149854883,2214.1854525646286,81.80996153070646,145.86436618543976,156.74794758838664,194.31698477558044,2103.8114805966816,2083.0205149854883,2214.1854525646286,109,258.0,88.99999999999999,116,上福井周辺
533512333,38.756812919052834,186.3444617174219,207.62220988203958,249.18641888311168,147.58764879836906,2458.0409166478476,2304.59515027707,2273.590565994909,2465.316911446856,-153.44576637077762,186.34446171742186,207.62220988203958,249.18641888311168,2304.5951502770704,2273.590565994909,2465.316911446856,51,25.0,15.0,261,四所周辺
533512334,293.6439376364264,215.69517754393453,196.8505476541292,382.8889533402881,-77.94876009249188,1896.2243582860187,1882.7846332247077,1851.8300612523972,2114.5277216264935,-13.439725061311037,215.69517754393456,196.8505476541292,382.8889533402881,1882.7846332247082,1851.8300612523972,2114.5277216264935,74,91.99999999999999,30.0,101,上福井周辺
533512343,288.79290171976805,245.60163242417656,219.89106059007895,373.5670029706265,-43.191269295591496,1339.1137757869292,1221.6335113269113,1186.3430701710865,1413.914141794374,-117.4802644600179,245.6016324241765,219.89106059007895,373.5670029706265,1221.6335113269108,1186.3430701710865,1413.914141794374,121,233.0,84.99999999999999,91,福井小学校口周辺
533512344,278.6765336226648,188.59670569058218,191.8143585305859,282.64852244706327,-90.07982793208262,796.6430113411278,760.1960505388181,760.3150844588117,1007.2411502797395,-36.44696080230972,188.59670569058213,191.8143585305859,282.64852244706327,760.1960505388181,760.3150844588117,1007.2411502797395,188,421.0,131.0,137,福井小学校口周辺
533512352,624.0944360921821,399.51463989554065,393.5685634701745,464.1054473562008,-224.5797961966415,497.137808133289,282.30579783156423,259.6134052263898,371.26968509120746,-214.83201030172478,399.5146398955407,393.5685634701745,464.1054473562008,282.3057978315643,259.6134052263898,371.26968509120746,155,259.0,77.0,135,千日前周辺
533512353,215.25422245420427,96.67261877286124,99.5616768108273,153.10826656794958,-118.58160368134303,346.27772205016925,316.69106147787767,334.3509889199077,435.4530519884554,-29.586660572291578,96.67261877286121,99.5616768108273,153.10826656794958,316.6910614778776,334.3509889199077,435.4530519884554,100,192.99999999999997,80.99999999999997,227,舞鶴港とれとれセンター前周辺
