citywide_screening_rank,mesh_code,label,residential_buildings,estimated_elderly,centroid_transport,weighted_transport_mean,weighted_transport_p90,centroid_medical,weighted_medical_mean,weighted_medical_p90
254,533512791,中舞鶴周辺,292,207.00000000000003,176.0376723901252,120.03344058684979,188.2682545729095,125.61346025893292,127.20074449603632,194.97512332783268
255,533513612,東舞鶴駅周辺,286,364.99999999999994,188.13482953669188,221.425971280716,363.51277751822096,109.46716026907215,129.07219403390826,261.85758182772906
256,533523021,大波下周辺,169,78.0,94.64881985489899,193.40934276848313,299.55796404838316,332.5414078800896,245.63650815614025,356.59789686240623
257,533513514,行永郵便局前周辺,653,499.0,102.52394591183787,144.108083287245,258.51548073153594,174.74883467012285,163.47523056246087,315.0969736211555
258,533513614,七条周辺,429,329.0,266.21368619471804,219.90090576393263,354.05840023787795,66.96435227515086,112.28026616469944,215.49280143406307
259,533513712,七条周辺,170,224.0,220.69644102116607,132.26072937549398,204.16875306599619,68.45790417949165,132.87038376756394,212.08328246206696
260,533512691,道芝口周辺,377,243.0,134.41291403715854,178.9991079838893,280.611305013975,128.17104742033453,191.44694355678283,358.1212306973956
261,533512333,四所周辺,51,15.0,38.756812919052834,186.3444617174219,249.18641888311168,2458.0409166478476,2304.59515027707,2465.316911446856
262,533512693,上四丁目周辺,405,284.0,78.05816029913835,161.0717957632923,239.03775351476528,210.1190682329488,180.9967125684004,284.5865951042577
263,533523022,久原口周辺,12,11.0,65.9113472465246,163.33357231842916,244.49849361783862,898.6592840201365,774.855294054177,887.06228355558
265,533513611,共済病院前周辺,192,174.0,148.37113344284307,141.66764073293928,227.7075883326352,113.53765496381014,174.18343601465634,275.2343515590658
266,533513511,丸山口周辺,427,286.0,113.62286737861056,188.27705815219875,303.7346978482733,140.18349823738052,173.05611647675101,277.6035060719717
268,533512472,上安周辺,191,101.0,59.59801626920296,124.89255890487428,188.3966385649324,437.2520816462997,400.6883337613739,505.2575103355564
270,533512362,東田辺周辺,490,320.0,147.8574957551451,186.95854804084075,295.4350232011382,94.64209602778459,134.0752249657183,212.45600445556855
272,533513821,教育隊前周辺,47,8.999999999999998,280.0739054362432,504.2819146197037,553.7332336171874,123.6719102824248,341.122151202836,384.4710253976426
273,533512363,本町周辺,458,334.0,62.73342482680828,190.72707693059147,301.48325079615825,176.1061818370378,175.11757542152563,287.60214014352886
276,533512163,中筋小学校口周辺,390,181.0,30.75212570229139,191.13811439123015,273.7204500623691,516.6434191856881,573.1571396129742,665.6407118558952
279,533512463,吉原小学校前周辺,326,273.99999999999994,18.258176453928733,114.12751264656177,202.3168597414744,544.1271258511263,536.2822880165987,682.9471155394816
280,533512694,造船所前周辺,8,0.0,457.8957066188121,,,210.52011017642198,,
281,533512794,本館前周辺,2,1.0,151.42893619333802,70.23065610385449,70.32159700574772,385.2092979339459,525.415982787635,525.3400259738745
282,533512361,千日前周辺,479,429.0,163.80467894627742,226.55654086911233,353.7920223720484,20.09678804020568,152.58591711316376,258.7945602943707
283,533512263,西高前周辺,452,335.0,110.53543204709044,218.3730381519904,317.03039549849615,60.2365368364778,167.4764742762111,313.0305091381275
