mesh_code,transport_terrain_elderly_weight_coverage,transport_weighted_mean_ascent_m,transport_weighted_median_ascent_m,transport_weighted_p90_ascent_m,transport_weighted_mean_descent_m,transport_weighted_mean_maximum_grade_percent,medical_terrain_elderly_weight_coverage,medical_weighted_mean_ascent_m,medical_weighted_median_ascent_m,medical_weighted_p90_ascent_m,medical_weighted_mean_descent_m,medical_weighted_mean_maximum_grade_percent,terrain_metric_status
533512262,0.995793113786075,1.9565836510515828,0.7477010258742682,5.192348187740807,4.812273664676355,5.701167651680191,0.995793113786075,1.4622767641488545,0.4319281952850975,4.995390825498752,3.9870268528517987,5.384417315563608,partial
533512263,1.0,1.3131851365883216,0.8383769907055472,3.766298304997192,1.2341046614233269,4.045549902415065,1.0,0.9237386532145966,0.520126455463493,3.5670752457062624,0.9732769852169956,3.4466963698464803,available
533512264,1.0,1.4134883955697166,1.402593637840591,2.0938509713311713,1.9394223221145774,2.9099549402371343,1.0,0.5977754784149035,0.354419823164585,0.7371692942366832,1.1560312487154913,2.285330888798143,available
533512331,1.0,1.3919057268092665,1.3919057268092665,1.3919057268092665,1.909801903479263,1.8613623907861259,1.0,3.5359165808365742,3.5359165808365742,3.5359165808365742,9.466928934329957,2.4159779569371023,available
533512332,1.0,1.4624424973445074,1.5988491228399795,2.084513845960072,1.0781817084700773,2.6452055521027407,1.0,3.521658805286537,3.6648452476175026,4.228524699987379,8.550514193235495,2.9271259078613796,available
533512333,1.0,5.738907026713804,7.153190766240545,8.94282737527242,1.5371518337256,4.602593666913955,1.0,4.447187245718629,2.1440108540273077,14.128027758139066,11.17906928590818,8.333590329769832,available
533512334,1.0,1.815773843642027,2.6212922524892175,3.3217705165120095,2.3140833190242787,5.32445757643353,1.0,2.146450282421319,2.1440108540273077,2.161600299696976,8.057875934626956,6.00787397635267,available
533512343,1.0,0.6302876241409052,0.5235672109143477,1.3330479616217854,1.2577303803498547,1.9119284996392476,1.0,2.3385160994310668,1.9149432632009002,3.148458691024831,3.591041336797865,1.8936583923831913,available
533512344,1.0,0.77837879092354,0.6579124053454157,1.3695372814227877,1.331461938226233,2.918274411269792,1.0,1.5053119956675023,1.5546983840203887,1.9030601792715982,2.9622660579111812,2.315291209668357,available
533512352,0.9878891850593805,1.597172381404583,1.1356523272279577,2.6466127792543563,2.330569090958792,6.57442448872898,0.9878891850593805,1.142216113004235,1.3338587668126647,1.4778268610474818,2.236896618682754,5.818277274959742,partial
533512353,1.0,0.24004643343977666,0.13813556717997066,0.6428615271846532,7.0454541238128945,7.323147076873929,1.0,0.5696238386058742,0.6014330385558764,1.2929940353997358,8.656455327935115,7.7347372426604775,available
533512354,1.0,0.6039538320382979,0.524620990981357,1.6350493929506196,1.7122089209502178,2.8140837768250053,1.0,0.5436760284808628,0.44443164117491407,1.2569659273191665,0.8932888770007329,2.3071997471514005,available
533512361,1.0,0.7173479537360353,0.575793519197763,1.1652006972307007,0.5320316827155492,1.7176719928925577,1.0,0.3734135634081866,0.2715655639766976,0.7198244145171167,0.5011975123988827,1.5274507569029998,available
533512362,1.0,0.6510751329181728,0.49895985336612103,1.0828372754219453,0.7895772569329068,1.725206030468378,1.0,0.8070808635346438,0.4289300776640128,1.16790606838367,0.7788863664879179,1.7780029829540165,available
533512363,1.0,0.4262509509399249,0.25849694135733237,1.1575108966736058,0.45226890919724977,1.3573195069662762,1.0,0.48428030908695324,0.5638173022237816,0.8030604253371163,0.34703379233103204,1.0298023853523564,available
533512364,1.0,0.8449751349371736,0.5703525770417182,1.9828789330346928,0.867442666498568,2.8230079064050604,1.0,2.2379134476935056,1.2288669672487162,6.271087530705053,1.7027922833084084,5.206785690846587,available
533512371,1.0,0.5471176004629117,0.12252089476711436,2.011538184125274,1.4906003896096378,2.889564998610725,1.0,0.1740108102095156,0.11061682514746085,0.14834512776470365,2.7408387989606013,2.235917015465083,available
533512372,1.0,0.7603903294548874,0.2840381093657971,2.6397916204250578,5.667188025072909,4.545198995555244,1.0,0.6751817676947209,0.11541944117473779,1.8568637349970318,14.813006447043579,4.2894193743358215,available
533512373,1.0,2.0245817712234015,2.250412960012328,4.022422482470883,1.3379251853523173,7.900488518281542,1.0,1.5968281641807818,1.0518720984348962,3.566352280150016,2.2434600514335123,9.314836642625082,available
533512374,1.0,3.7297376454787017,2.7655505516493246,8.861757143143416,1.4222886847263507,6.91616397516641,1.0,3.9139895499855712,1.3894763557241818,13.533948405072815,5.161435666974353,5.605240735864412,available
533512381,1.0,0.3917984565114352,0.10748208886513311,1.746246909849571,20.121273231251486,7.928745117537623,1.0,1.6615355332170714,0.21809891401259396,1.8568637349970318,29.734471581509244,7.470216906085656,available
533512383,1.0,1.0895620289212835,0.41430394695338535,2.768744731268498,4.770794781166134,6.503398852313323,1.0,8.783045876633672,8.220488793553798,13.305286501371935,4.047719053361954,8.891280016288354,available
533512384,1.0,6.270027704952082,7.295780047995905,7.97606747822357,12.387691776840526,10.549191632361765,1.0,0.6545044854443055,0.10595653560893226,3.38683751788464,15.006788627265612,17.688238449159687,available
533512441,1.0,1.5657235228903201,1.2495618607734011,1.4443530131853761,9.134956096202599,5.688083088770843,1.0,4.393454045014152,4.051001624633866,5.172155071305404,12.578326684825347,5.55976085628402,available
533512442,1.0,7.465019031094187,8.54264264312168,8.671878912429031,8.494175997705115,8.203910435321244,1.0,4.86281759182387,5.715383849731198,5.8446201190385505,6.507614624933712,8.018382745908621,available
533512443,1.0,3.784882088515289,2.552827173312595,6.37827752096158,13.312592514215034,7.062187755092981,1.0,2.6745807744151664,2.4692049922944306,3.069575470525391,12.817931266613824,6.714513654386244,available
533512444,1.0,7.725027062586408,8.077531663646194,10.588202770349941,11.589868145995526,5.012922684478606,1.0,3.0682531215898825,3.069575470525391,3.363277013536249,7.5488204292125145,4.828580526876564,available
533512461,1.0,0.27733549970044086,0.25579757513752566,0.5405570547194068,0.3535892366598816,0.8580211328833265,1.0,0.48111265742082554,0.498625921423832,0.8087030099300191,0.468107764873645,0.9751356108275647,available
533512463,1.0,0.5284082885654576,0.3103240301408219,1.447068177726776,0.7988552863981556,2.5094083946169565,1.0,2.577002280526515,2.6420974195989313,3.2268313292963864,2.6559482296658166,5.146356006350685,available
