mesh_code,network_transport_weighted_mean_distance_m,network_transport_weighted_median_distance_m,network_transport_weighted_p90_distance_m,network_medical_weighted_mean_distance_m,network_medical_weighted_median_distance_m,network_medical_weighted_p90_distance_m,transport_elderly_weight_coverage,medical_elderly_weight_coverage,network_reachable_buildings_transport,network_reachable_buildings_medical,centroid_transport_distance,weighted_mean_transport_distance,weighted_median_transport_distance,weighted_p90_transport_distance,transport_difference,centroid_medical_distance,weighted_mean_medical_distance,weighted_median_medical_distance,weighted_p90_medical_distance,medical_difference,population_weighted_mean_transport_distance,population_weighted_median_transport_distance,population_weighted_p90_transport_distance,population_weighted_mean_medical_distance,population_weighted_median_medical_distance,population_weighted_p90_medical_distance,residential_building_count,estimated_population_allocated,estimated_elderly_allocated,citywide_screening_rank,label,network_minus_building_euclidean_transport_m,network_minus_building_euclidean_medical_m,network_transport_detour_ratio,network_medical_detour_ratio,network_metric_status
533903391,519.2420978989015,380.6601796254769,780.3327042591317,1030.8370905745285,900.3705251456303,1294.5745927484036,0.972227815103286,0.972227815103286,13,13,556.5961090045288,325.99862084421034,317.3555376254981,341.86676478890536,-230.59748816031845,907.3968332149552,669.2793121836846,629.6675888917491,757.6001304653643,-238.1175210312707,325.9986208442104,317.3555376254981,341.86676478890536,669.2793121836847,629.6675888917491,757.6001304653643,14,539.0,199.0,,緑ヶ丘周辺,193.2434770546912,361.55777839084385,1.5927739097615363,1.5402195642521426,partial
533903441,169.16994706580084,147.8010782853981,284.28736795874266,471.1306061614521,474.552714972372,504.5047635654845,1.0,1.0,64,64,250.1669015763104,120.16911230074396,110.07258848551125,209.237917486493,-129.99778927556642,581.7995572342408,360.1312257981989,359.35570938525706,387.0765751592602,-221.66833143604185,120.16911230074402,110.07258848551125,209.237917486493,360.1312257981989,359.35570938525706,387.0765751592602,64,525.0,139.00000000000003,,大辻周辺,49.00083476505688,110.99938036325318,1.4077656381651869,1.3082192612352148,available
533903442,251.20162523225002,260.9608513874832,331.4658472755624,206.96312332809538,200.4406708216165,278.43797004732016,1.0,1.0,296,296,21.31673928969136,149.44021602333854,158.10558985426144,217.64446123246404,128.12347673364718,103.00534492659102,120.21164911075536,122.0155661404386,178.91493446374108,17.206304184164324,149.44021602333848,158.10558985426144,217.64446123246404,120.2116491107553,122.0155661404386,178.91493446374108,296,1926.0,771.0,256.0,南大平周辺,101.76140920891149,86.75147421734002,1.6809506297355665,1.7216561361487748,available
533903443,301.1361956231699,307.0869349423466,445.99772145519495,437.70928559572394,455.5595218289034,538.4490280444279,0.9932792062961945,0.9932792062961945,198,198,193.76535134447943,126.7760590579102,123.79662353905496,208.09156815627503,-66.98929228656927,214.90232634599224,203.99990670116517,213.66903230338832,306.0632145658117,-10.902419644827091,126.77605905791022,123.79662353905496,208.09156815627503,203.9999067011652,213.66903230338832,306.0632145658117,200,1220.0,464.0,,小出一本松周辺,174.3601365652597,233.70937889455877,2.3753396174400208,2.145634734220317,partial
533903444,337.7665291750511,348.4355341601384,486.64421044366384,429.317257845489,419.43087490463,601.961075174296,1.0,1.0,647,647,220.04379719588852,168.7794589493174,171.9404993021584,239.82619591736452,-51.26433824657116,220.49231703154624,203.88745043619468,204.2548619150379,287.76846644607866,-16.60486659535158,168.77945894931742,171.9404993021584,239.82619591736452,203.8874504361947,204.2548619150379,287.76846644607866,647,2260.0,1014.0,56.0,滝の沢不動前周辺,168.98707022573373,225.4298074092943,2.0012300743094493,2.1056580820791675,available
533903451,395.0684833372725,379.10646257583795,588.1914793351299,376.8471182842517,367.2647328706184,514.0986169538327,0.9805840475479951,0.9805840475479951,357,357,307.5725856726599,176.52311924473295,160.75972508279028,304.9114605684407,-131.04946642792694,275.7042949974157,231.66421059151955,238.06154457384292,304.2273855506739,-44.04008440589613,176.52311924473304,160.75972508279028,304.9114605684407,231.6642105915197,238.06154457384292,304.2273855506739,365,3100.999999999999,1095.0,,滝の沢小学校前周辺,218.54536409253953,145.18290769273213,2.238055190887187,1.6266954542612755,partial
533903452,227.52601783291058,217.43315761081877,335.92498249096894,206.4585564705025,195.57705341286697,335.3905344623474,1.0,1.0,351,351,34.25075240381902,122.92902828584964,117.50546133318105,202.5721144423662,88.67827588203063,124.81458714764015,130.16527487341867,123.8550745978616,194.54661053614484,5.3506877257785135,122.9290282858497,117.50546133318105,202.5721144423662,130.16527487341872,123.8550745978616,194.54661053614484,351,3008.0,1276.0000000000002,250.0,二番構保健医療センター周辺,104.59698954706094,76.29328159708382,1.8508729874919307,1.5861262281455362,available
533903453,287.30588170710143,291.19132734849495,451.851817002458,557.7291188939394,559.3892721781012,708.3726141850358,1.0,1.0,545,545,155.33225431883315,173.1929145740827,170.80101076761918,275.2906912084624,17.86066025524954,381.155141645423,397.5740867639452,406.5700474263962,491.84170194351054,16.41894511852223,173.1929145740827,170.80101076761918,275.2906912084624,397.5740867639452,406.5700474263962,491.84170194351054,545,2185.0,576.0,70.0,滝の沢周辺,114.11296713301874,160.15503212999414,1.6588778034808538,1.4028306609054333,available
533903454,240.06102943389735,227.25205282859835,359.8004379361899,389.94033858866834,398.3774479172437,544.0701183148983,1.0,1.0,712,712,60.18573778681706,148.9780794102343,149.77028334271554,217.921795642353,88.79234162341723,358.8123175104917,247.8845982250995,251.0391513782691,346.3102166116437,-110.9277192853922,148.97807941023433,149.77028334271554,217.921795642353,247.8845982250995,251.0391513782691,346.3102166116437,712,3641.000000000001,1114.0000000000002,175.0,駒寄住宅北周辺,91.08295002366305,142.05574036356884,1.6113849123591666,1.573072072168722,available
533903461,228.00051614429847,227.28812278696074,297.87670559487447,291.7081571318215,266.417575171978,475.9844003801003,1.0,1.0,285,285,121.03763330123492,134.0504445298515,138.4381696818198,189.29876906291065,13.01281122861657,335.9244932061764,201.49906150426295,195.0075834848996,300.31408864227404,-134.42543170191342,134.0504445298515,138.4381696818198,189.29876906291065,201.49906150426295,195.0075834848996,300.31408864227404,285,1287.0,308.0,150.0,北の谷周辺,93.95007161444698,90.20909562755855,1.7008560989406147,1.4476899046284146,available
