mesh_code,centroid_transport_distance,weighted_mean_transport_distance,weighted_median_transport_distance,weighted_p90_transport_distance,transport_difference,centroid_medical_distance,weighted_mean_medical_distance,weighted_median_medical_distance,weighted_p90_medical_distance,medical_difference,population_weighted_mean_transport_distance,population_weighted_median_transport_distance,population_weighted_p90_transport_distance,population_weighted_mean_medical_distance,population_weighted_median_medical_distance,population_weighted_p90_medical_distance,residential_building_count,estimated_population_allocated,estimated_elderly_allocated,citywide_screening_rank,label
533903722,272.03150775902907,201.5670338649098,210.45778042892755,318.9361741300518,-70.46447389411927,75.57758361427416,156.28699000289424,179.039865899114,242.0406552353313,80.70940638862008,201.5670338649098,210.45778042892755,318.9361741300518,156.2869900028942,179.039865899114,242.0406552353313,103,254.99999999999997,124.0,221,宮原中央周辺
533903723,463.61596740803196,332.00730611793773,318.19664690125836,457.6412027725104,-131.60866129009423,625.4252723330708,479.76153664454694,465.49568047322407,633.9221200419469,-145.66373568852384,332.00730611793773,318.19664690125836,457.6412027725104,479.7615366445469,465.49568047322407,633.9221200419469,113,215.99999999999997,78.99999999999999,86,宮原周辺
533903724,182.17528114920617,221.2382232154894,217.58103133929276,348.10145246237727,39.06294206628323,297.633041395837,245.38324628649892,249.00890126142335,325.27351792399924,-52.249795109338066,221.2382232154894,217.58103133929276,348.10145246237727,245.38324628649892,249.00890126142335,325.27351792399924,346,796.0,313.0,106,宮原周辺
533903731,83.6505459850593,120.11232514285372,119.36025784742047,186.77468701615882,36.461779157794425,608.0026941082597,676.2930538732255,656.0254477637634,830.6589300190482,68.29035976496584,120.1123251428537,119.36025784742047,186.77468701615882,676.2930538732255,656.0254477637634,830.6589300190482,182,333.0,99.0,212,打戻大仲周辺
533903732,97.87763948952613,203.4723290237477,214.39754827842657,314.8117412469236,105.59468953422157,771.5663500090692,784.9307709481805,776.3684875593682,876.9860648788483,13.364420939111255,203.47232902374776,214.39754827842657,314.8117412469236,784.9307709481803,776.3684875593682,876.9860648788483,71,127.99999999999999,27.000000000000004,238,宇都母知神社入口周辺
533903733,240.1343162231425,190.48172885551114,192.42156307133334,291.2354756902988,-49.652587367631355,406.46707620758616,368.66839553284143,333.98870910283796,572.4911229141331,-37.79868067474473,190.4817288555111,192.42156307133334,291.2354756902988,368.6683955328414,333.98870910283796,572.4911229141331,186,408.0,150.99999999999997,93,古里団地周辺
533903734,481.10921982459513,275.4720874934736,282.34948310638634,360.46457379789524,-205.6371323311215,639.5621432928705,535.1296586508848,403.81521815855115,785.6098735902004,-104.43248464198564,275.4720874934736,282.34948310638634,360.46457379789524,535.1296586508847,403.81521815855115,785.6098735902004,36,83.0,23.0,192,西菖蒲沢周辺
533903741,314.2552460984658,159.16952900659362,134.18192049726423,295.4981404835432,-155.0857170918722,419.28074298075546,560.1987897869178,547.3192634301164,686.4240441311167,140.91804680616235,159.1695290065936,134.18192049726423,295.4981404835432,560.1987897869176,547.3192634301164,686.4240441311167,58,136.0,30.0,190,遠藤西の谷周辺
533903742,442.04169459020557,364.63994493591906,367.4503230897345,436.579926184155,-77.4017496542865,420.7292218645511,440.96506626718366,471.6642341986498,620.1770676431884,20.23584440263255,364.6399449359192,367.4503230897345,436.579926184155,440.96506626718366,471.6642341986498,620.1770676431884,124,259.0,66.00000000000001,121,藤沢ジャンボゴルフ前周辺
533903743,235.1879642800739,127.35601275141255,126.77975787166318,202.02730323624982,-107.83195152866136,821.9647868232088,694.4237578875395,703.6121938073194,747.7539744554521,-127.54102893566926,127.35601275141252,126.77975787166318,202.02730323624982,694.4237578875393,703.6121938073194,747.7539744554521,86,153.0,53.999999999999986,132,菖蒲沢周辺
533903744,84.8186040442719,166.901705493355,157.58166783820988,301.7194283158433,82.0831014490831,562.6781148362896,550.0818189065066,541.8048992159949,675.5870045054629,-12.596295929783082,166.901705493355,157.58166783820988,301.7194283158433,550.0818189065066,541.8048992159949,675.5870045054629,106,178.0,52.99999999999999,224,笹久保周辺
533903751,254.71095713514396,228.04847024294503,229.84958384126608,334.94937214716384,-26.662486892198928,491.21737316493227,469.5865205394219,463.3049563509791,590.8230340081336,-21.630852625510386,228.048470242945,229.84958384126608,334.94937214716384,469.5865205394218,463.3049563509791,590.8230340081336,581,1714.0,338.0,35,遠藤周辺
533903752,81.86507469483232,141.26376546408235,141.73038633236897,189.55536909956865,59.39869076925004,147.6227651128664,245.75906600677655,238.78310285935098,369.9052461239839,98.13630089391015,141.2637654640824,141.73038633236897,189.55536909956865,245.75906600677658,238.78310285935098,369.9052461239839,197,1440.0,251.00000000000003,233,南大山周辺
533903753,115.63273843405379,130.83577641992687,119.9539042095302,244.62848888254868,15.203037985873081,302.40322450722124,346.4570681126236,382.4048926354781,507.35400818707825,44.053843605402335,130.8357764199269,119.9539042095302,244.62848888254868,346.4570681126235,382.4048926354781,507.35400818707825,270,1060.0,292.0,163,仲之桜周辺
533903754,247.55267063822842,168.25551863117212,184.30117998024468,243.66695795406216,-79.2971520070563,303.4850845910409,240.65349769505318,239.93432998272436,395.6323558917168,-62.831586895987726,168.25551863117212,184.30117998024468,243.66695795406216,240.6534976950532,239.93432998272436,395.6323558917168,152,764.0,177.0,109,菖蒲沢団地周辺
533903762,176.7744478259792,161.89847872604614,177.4410647799521,238.9080401483784,-14.875969099933059,341.9750831376249,277.947310929912,274.64931889488935,427.49028556343745,-64.02777220771287,161.8984787260462,177.4410647799521,238.9080401483784,277.9473109299121,274.64931889488935,427.49028556343745,372,2409.0,391.0000000000001,90,円行上庭周辺
533903764,268.0510084403829,156.33651718044914,148.18047428497633,275.38149627631304,-111.71449125993374,382.07131406249636,284.5661123864481,236.5002387413977,489.604107587233,-97.50520167604827,156.3365171804491,148.18047428497633,275.38149627631304,284.566112386448,236.5002387413977,489.604107587233,276,2282.0,463.0,31,北警察署前周辺
533903771,197.94043105282742,197.7240886612369,191.12228116285627,314.3918691509186,-0.21634239159052981,30.115221695391828,96.54019079526714,95.02466236088874,141.99842790589162,66.42496909987531,197.7240886612369,191.12228116285627,314.3918691509186,96.54019079526714,95.02466236088874,141.99842790589162,433,3430.0,558.0,241,湘南台住宅前周辺
533903772,65.21511043543981,182.5598643821076,189.15137449382902,302.0585862273629,117.3447539466678,189.20516612777905,163.25423316167107,158.68904002500955,293.3781582381816,-25.950932966107985,182.5598643821076,189.15137449382902,302.0585862273629,163.25423316167107,158.68904002500955,293.3781582381816,549,2715.0,524.0,219,今田周辺
533903773,170.4615719471916,162.00995054501956,144.286510825068,289.11627732492695,-8.451621402172037,78.03404269608686,99.88665406537262,104.76066810020507,159.0921191019055,21.852611369285768,162.00995054501956,144.286510825068,289.11627732492695,99.88665406537268,104.76066810020507,159.0921191019055,308,6124.0,1103.0000000000002,180,湘南台周辺
533903774,102.47323624187683,133.86837735566064,130.54837674778454,212.25644514629153,31.395141113783808,33.96592674587439,121.89319487516136,110.85626626813857,207.28235979924648,87.92726812928697,133.86837735566064,130.54837674778454,212.25644514629153,121.89319487516136,110.85626626813857,207.28235979924648,457,2946.0,493.99999999999994,254,今田上原周辺
533903781,339.2959953439174,206.2661072141774,193.87931093413184,339.2421859479938,-133.02988812974002,427.36846565141116,268.42417903154296,266.91627528806964,366.69421078075897,-158.9442866198682,206.2661072141774,193.87931093413184,339.2421859479938,268.4241790315429,266.91627528806964,366.69421078075897,258,1010.0,142.0,67,今田西原周辺
533903783,479.97530531174317,286.94059345468776,283.07984857186483,386.2490524228584,-193.0347118570554,515.2035499403422,307.66814304178973,301.34963698522387,382.66591739105445,-207.53540689855248,286.9405934546879,283.07984857186483,386.2490524228584,307.6681430417898,301.34963698522387,382.66591739105445,169,849.9999999999999,273.0,<NA>,今田上原周辺
533903812,1174.099183807073,1058.0545762717613,1053.1711167254539,1072.09952431518,-116.04460753531157,1235.1454660254153,1191.9593897232917,1194.7179215764309,1202.4053952203944,-43.18607630212364,1058.0545762717613,1053.1711167254539,1072.09952431518,1191.9593897232915,1194.7179215764309,1202.4053952203944,4,12.0,6.999999999999999,<NA>,宮原周辺
533903821,675.1524106786799,423.25419576448326,424.31837440890666,452.36797968347264,-251.89821491419661,676.5726054476696,411.8617450332802,410.6113703683967,441.59209644041135,-264.7108604143894,423.25419576448326,424.31837440890666,452.36797968347264,411.8617450332802,410.6113703683967,441.59209644041135,22,36.0,18.0,<NA>,西用田周辺
533903822,198.3035791638195,211.32042508506615,212.30109782116398,302.8127683031869,13.016845921246642,185.72885489024796,264.00022990209936,261.9421800677824,399.561645489867,78.2713750118514,211.32042508506615,212.30109782116398,302.8127683031869,264.0002299020994,261.9421800677824,399.561645489867,361,832.0,305.0,146,中原周辺
533903824,139.97912162014714,112.25873141656551,105.95358247532117,188.64192437645818,-27.72039020358163,631.5934797185503,480.30814971430135,479.1023033638828,561.2404890938989,-151.28533000424892,112.25873141656545,105.95358247532117,188.64192437645818,480.30814971430124,479.1023033638828,561.2404890938989,162,296.00000000000006,109.0,139,西用田周辺
533903831,86.87613979107765,145.45118322533054,148.91137980252614,227.9858655000002,58.57504343425289,92.64649239572022,169.78973061969643,161.01272772386372,269.7375514347844,77.14323822397621,145.45118322533054,148.91137980252614,227.9858655000002,169.78973061969643,161.01272772386372,269.7375514347844,427,1636.0,532.0,236,御所見小学校前周辺
533903832,128.83412552164148,156.6726679931008,155.17598956672197,227.45112265895727,27.838542471459306,502.38945168727173,385.1204325235592,345.74104135602045,586.0710275045675,-117.26901916371253,156.6726679931008,155.17598956672197,227.45112265895727,385.12043252355926,345.74104135602045,586.0710275045675,328,858.0,243.00000000000003,124,御所見中学校前周辺
533903833,259.2986497158803,162.82063431709412,143.124883274792,293.37656200543364,-96.47801539878617,245.03770237538117,223.3253397582017,231.9411716492145,341.16931194389207,-21.71236261717948,162.82063431709412,143.124883274792,293.37656200543364,223.32533975820172,231.9411716492145,341.16931194389207,338,804.0,213.0,107,用田周辺
533903834,367.8329424865314,379.0182425874529,419.3431251180456,572.765185997143,11.185300100921495,376.29933119799716,295.6070526993996,297.22682675583843,390.255234643812,-80.69227849859755,379.01824258745296,419.3431251180456,572.765185997143,295.6070526993996,297.22682675583843,390.255234643812,220,482.0,146.0,76,御所見中学校前周辺
533903841,49.202722150827164,176.59704613141918,173.70213457485508,250.6994259699457,127.39432398059202,659.3833613087647,592.4320147638933,570.4177381965397,807.6081693697595,-66.9513465448714,176.5970461314192,173.70213457485508,250.6994259699457,592.4320147638933,570.4177381965397,807.6081693697595,195,486.0,111.0,231,葛野周辺
533903842,264.9854144008956,212.75514142961842,227.3327587728564,358.96882210057447,-52.230272971277174,126.68967774098859,195.63979486112174,207.25989519838856,308.5468640610482,68.95011712013316,212.75514142961836,227.3327587728564,358.96882210057447,195.63979486112166,207.25989519838856,308.5468640610482,156,270.0,100.99999999999997,200,宮の腰周辺
